"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#DigitalTransformation #MachineLearning #BigData #ArtificialIntelligence #cybersecurity #Blockchain #DX #Analytics… https://t.co/QNvrOmbUnm",FALSE,1,NA,2021-02-28 14:18:40,TRUE,NA,"1366030059081895937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MadhanAlisha",5,FALSE,FALSE,NA,NA
"2","#Math #Mathematics #AcadService #MathAcadService #AcademicService
Math Mathematics Acad Service Academic Service",FALSE,0,"seokminhonam",2021-02-28 14:11:09,FALSE,"1366027858120896513","1366028168113496069","1354733311508140037","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seokminhonam",1,FALSE,FALSE,NA,NA
"3","Looking for the best online partner  with diverse experience and have made many achieve their best in matters acade… https://t.co/urpMDDPrwX",FALSE,0,NA,2021-02-28 14:07:56,TRUE,NA,"1366027358256443398",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fridahscholars",0,FALSE,FALSE,NA,NA
"4","We offer quality services in:
#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks… https://t.co/lSKY65Ia83",FALSE,0,NA,2021-02-28 14:07:02,TRUE,NA,"1366027132359634944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PerfectWriters6",1,FALSE,FALSE,NA,NA
"5","Strain no More in Your,
#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks… https://t.co/85AiKfHpRi",FALSE,0,NA,2021-02-28 14:06:34,TRUE,NA,"1366027012566056964",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PerfectWriters6",1,FALSE,FALSE,NA,NA
"6","Strain no More in Your,
#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks… https://t.co/pubBXbQfN7",FALSE,0,NA,2021-02-28 14:06:23,TRUE,NA,"1366026966705528842",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FloridaPhyc",2,FALSE,FALSE,NA,NA
"7","#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks
#essaypay
#econometrics
#Math… https://t.co/BbFJGKNWEh",FALSE,0,NA,2021-02-28 14:06:15,TRUE,NA,"1366026934208102400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PerfectWriters6",1,FALSE,FALSE,NA,NA
"8","#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks
#essaypay
#econometrics
#Math… https://t.co/1ehscOdMeH",FALSE,0,NA,2021-02-28 14:06:01,TRUE,NA,"1366026874728701954",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FloridaPhyc",1,FALSE,FALSE,NA,NA
"9","#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks
#essaypay
#econometrics
#Math… https://t.co/Smz25on8gV",FALSE,0,NA,2021-02-28 14:05:07,TRUE,NA,"1366026649578397698",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Paul1Tutor",1,FALSE,FALSE,NA,NA
"10","Strain no More in Your,
#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks… https://t.co/zzxRRuLjGV",FALSE,0,NA,2021-02-28 14:04:40,TRUE,NA,"1366026537779265539",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Homework_top",2,FALSE,FALSE,NA,NA
"11","Looking for the best online partner  with diverse experience and have made many achieve their best in matters acade… https://t.co/SVGKfF76ug",FALSE,0,NA,2021-02-28 14:04:33,TRUE,NA,"1366026508419145728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","academicmaster2",0,FALSE,FALSE,NA,NA
"12","FREE endless interactive elementary maths for your family #kids #learning #stem #math #education #online https://t.co/1lv4TjJYrS",FALSE,0,NA,2021-02-28 14:03:34,FALSE,NA,"1366026259835330561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","endlessmath",0,FALSE,FALSE,NA,NA
"13","#mathchat #math Poetry sounding prose style site:There are 3 kinds of #people Those who can #count &amp; those who can't https://t.co/TCILcuwyLZ",FALSE,0,NA,2021-02-28 14:03:02,FALSE,NA,"1366026124745129987",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","WomensPowerBook",0,FALSE,FALSE,NA,NA
"14","A #fun way to #practice #addition.  

https://t.co/KIhVn9Wgyj

#Educational #Games #kids #schools #Schooltime… https://t.co/wYOAvloWCT",FALSE,0,NA,2021-02-28 14:02:02,TRUE,NA,"1366025875796410371",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","kidd81",0,FALSE,FALSE,NA,NA
"15","We offer quality services in:
#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks… https://t.co/CP0aCCHj3P",FALSE,0,NA,2021-02-28 14:00:25,TRUE,NA,"1366025468256878592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","supertutors50",1,FALSE,FALSE,NA,NA
"16","Today is 2021-2-28. [20 21 2 28] has 1 way to make 24. Today's 4 Numbers! puzzle:[4 4 16 24].  https://t.co/I9yc7IQKaR #math",FALSE,0,NA,2021-02-28 14:00:15,FALSE,NA,"1366025424669577217",NA,"<a href=""http://www.24theory.com"" rel=""nofollow"">24theory</a>","4nums_game",0,FALSE,FALSE,NA,NA
"17","Strain no More in Your,
#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks… https://t.co/0dT9gFl0NX",FALSE,0,NA,2021-02-28 14:00:03,TRUE,NA,"1366025373474058242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","supertutors50",1,FALSE,FALSE,NA,NA
"18","Strain no More in Your,
#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks… https://t.co/dRudbg71nQ",FALSE,1,NA,2021-02-28 13:57:24,TRUE,NA,"1366024709549264897",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Homework_top",1,FALSE,FALSE,NA,NA
"19","Peter Sarnak on reading: “When learning an area, one should combine reading modern treatments with a study of the o… https://t.co/kFKjxGn7vx",FALSE,0,NA,2021-02-28 13:56:54,TRUE,NA,"1366024583976022017",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ExistsforallA",0,FALSE,FALSE,NA,NA
"20","My #almamater ... I found a place... in the early 1980's (in the dark ages. lol) where I could be a #math major and… https://t.co/fBZct5hKNp",FALSE,2,NA,2021-02-28 13:55:37,TRUE,NA,"1366024258791608320",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sportsyenta",0,FALSE,FALSE,NA,NA
"21","We offer quality services in:
#onlineclass
#fall classes 
#Essay due
#Paper pay 
#javascript
#Case study
#homeworks… https://t.co/Q697U9TSjY",FALSE,0,NA,2021-02-28 13:54:15,TRUE,NA,"1366023914305032206",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","superb_writings",2,FALSE,FALSE,NA,NA
"22","Dm for
#essayhelp 
#essaypay 
#Sociology 
#assignments 
#onlineclasses 
#Math 
#calculus 
#chemistry",FALSE,1,NA,2021-02-28 13:54:02,FALSE,NA,"1366023862174052359",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OliviaEssayHelp",0,FALSE,FALSE,NA,NA
"23","#math #multiplication #crosscurriculum #exercise #learning #kinesthetic #fitness #motivation #fun",FALSE,0,"MrSciortinoPE",2021-02-28 13:52:53,FALSE,"1366023229920411651","1366023570321768455","1239609463683899397","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MrSciortinoPE",0,FALSE,FALSE,NA,NA
"24","DM us for quality grades for your online classes.

#Paperpay
#python
#chemistry 
#WomenWhoCode 
#Assignment… https://t.co/3qHTMHtVxk",FALSE,1,NA,2021-02-28 13:49:40,TRUE,NA,"1366022762641436672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TutorLayla",4,FALSE,FALSE,NA,NA
"25","Pay us to do your;
#Psychology
Essays due
Sociology
English
Business
History paper
Dissertations
Discussions
vMicro… https://t.co/qwxVpKtNC1",FALSE,1,NA,2021-02-28 13:45:12,TRUE,NA,"1366021636172955653",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WritingReliable",0,FALSE,FALSE,NA,NA
"26","Get assignment help
Pay someone
Biochemistry
Physics
#essayhelp
Science
English
Physicalscience
#essaypay
Maths… https://t.co/7eZ4ZYlNep",FALSE,0,NA,2021-02-28 13:41:57,TRUE,NA,"1366020818480861185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","academic_grader",0,FALSE,FALSE,NA,NA
"27","Pay us to do  your;
Presentation
Case Study
Data analysis 
Anatomy
Geometry
Accounting
Literature
Movie review
Stat… https://t.co/diGQcW7qvl",FALSE,0,NA,2021-02-28 13:41:24,TRUE,NA,"1366020680567898113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","academic_grader",0,FALSE,FALSE,NA,NA
"28","FYI: It will be the year 2968 (~947 years from now) before #dogecoin's circulating supply catches up to the current… https://t.co/gB2Dt7Bdrq",FALSE,2,NA,2021-02-28 13:39:41,TRUE,NA,"1366020249527721991",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shutup_carl",1,FALSE,FALSE,NA,NA
